physid,firstdepyr,lastdepyr,SPECIALTY,MEDCTR,MSA,ENCCT
7792,2012,2018,Family Practice,HARBOR MAC ARTHUR MED OFFICES U,ORANGE COUNTY MED CENTER AREA,58
7792,2014,2019,Urgent Care,HARBOR MAC ARTHUR MED OFFICES U,ORANGE COUNTY MED CENTER AREA,136
7792,2015,2020,Urgent Care,GARDEN GROVE MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,52
7792,2017,2017,Family Practice,FOOTHILL RANCH MEDICAL OFFICES,ORANGE COUNTY MED CENTER AREA,6
7793,2004,2009,"Surgery, General",BELLFLOWER MEDICAL CENTER U,DOWNEY MEDICAL CENTER AREA,260
7793,2009,2013,"Surgery, General",BELLFLOWER MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,2738
7793,2013,2020,"Surgery, General",ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,4466
7794,2005,2006,Family Practice,BARRANCA MEDICAL OFFICE U,ORANGE COUNTY MED CENTER AREA,14
7794,2005,2006,Family Practice,WEST ANAHEIM MEDICAL PLAZA U,ORANGE COUNTY MED CENTER AREA,15
7794,2006,2007,Internal Medicine,BARRANCA MEDICAL OFFICE U,ORANGE COUNTY MED CENTER AREA,8
7794,2006,2008,Internal Medicine,WEST ANAHEIM MEDICAL PLAZA U,ORANGE COUNTY MED CENTER AREA,10
7795,2012,2013,"Obstetrics, Gynecology",FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,144
7795,2014,2019,"Obstetrics, Gynecology",RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,340
7795,2014,2020,"Obstetrics, Gynecology",IRIS ST MEDICAL OFFICES II,RIVERSIDE MEDICAL CENTER AREA,4063
7795,2015,2017,"Obstetrics, Gynecology",WILDOMAR MEDICAL OFFICES U,RIVERSIDE MEDICAL CENTER AREA,1108
7795,2017,2020,"Obstetrics, Gynecology",MURRIETA MEDICAL OFFICE 1 U,RIVERSIDE MEDICAL CENTER AREA,3115
7795,2019,2019,"Obstetrics, Gynecology",NORMANDIE NO. MEDICAL OFFICE U,SOUTH BAY MEDICAL CENTER AREA,21
7795,2019,2019,"Obstetrics, Gynecology",WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,4
7797,2004,2006,Family Practice,ONTARIO MEDICAL OFFICES,SAN BERNARDINO COUNTY AREA,4440
7797,2004,2018,Family Practice,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,787
7797,2006,2020,Family Practice,ONTARIO VINEYARD MED OFFICES U,SAN BERNARDINO COUNTY AREA,26278
7797,2007,2018,Urgent Care,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,1446
7797,2007,2018,Urgent Care,ONTARIO VINEYARD MED OFFICES U,SAN BERNARDINO COUNTY AREA,4547
7797,2013,2015,Population Care Management,ONTARIO VINEYARD MED OFFICES U,SAN BERNARDINO COUNTY AREA,79
7797,2014,2015,Family Practice,INDIAN HILL MEDICAL OFFICES  U,SAN BERNARDINO COUNTY AREA,720
7797,2018,2020,Urgent Care,MEDICAL OFFICES D AT ONTARIO U,SAN BERNARDINO COUNTY AREA,175
7798,2015,2015,"Surgery, General",4760 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,6
7798,2016,2020,"Surgery, General",WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,4313
7799,2016,2017,Urgent Care,LA MESA MEDICAL OFFICES       U,SAN DIEGO MEDICAL CENTER AREA,1530
7800,2004,2017,Neurology,1505 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,20431
7800,2007,2007,Radiology,1505 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,1
7802,2017,2020,Urgent Care,LANCASTER MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,4424
7803,2004,2005,Urology,BARRANCA MEDICAL OFFICE U,ORANGE COUNTY MED CENTER AREA,1420
7803,2005,2012,Urology,LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,1001
7803,2005,2020,Urology,ALTON/SAND CANYON MOB 1 U,ORANGE COUNTY MED CENTER AREA,30992
7803,2011,2015,Urology,ALTON/SAND CANYON MOB 2 U,ORANGE COUNTY MED CENTER AREA,352
7803,2012,2020,Urology,ANAHEIM KRAEMER MED OFFICE 2 U,ORANGE COUNTY MED CENTER AREA,1447
7803,2017,2017,Urology,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,98
7804,2011,2011,Neurosurgery,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,1
7805,2016,2020,Family Practice,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,1296
7806,2011,2019,Family Practice,HIGH DESERT MEDICAL OFFICES   U,SAN BERNARDINO COUNTY AREA,15300
7806,2012,2012,Internal Medicine,HIGH DESERT MEDICAL OFFICES   U,SAN BERNARDINO COUNTY AREA,1
7806,2012,2012,Pediatrics,HIGH DESERT MEDICAL OFFICES   U,SAN BERNARDINO COUNTY AREA,31
7806,2013,2019,Urgent Care,HIGH DESERT MEDICAL OFFICES   U,SAN BERNARDINO COUNTY AREA,3335
7807,2009,2009,Neurology,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,120
7807,2009,2020,Sleep Clinic,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,2981
7807,2015,2015,Sleep Clinic,HIGH DESERT MEDICAL OFFICES   U,SAN BERNARDINO COUNTY AREA,6
7808,2013,2020,"Obstetrics, Gynecology",ANTELOPE VALLEY OB/GYN OFFICES,ANTELOPE VALLEY MED CTR AREA,13297
7809,2019,2019,Urgent Care,OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,104
7809,2019,2020,Urgent Care,KP SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,635
7809,2019,2020,Urgent Care,LA MESA MEDICAL OFFICES       U,SAN DIEGO MEDICAL CENTER AREA,3011
7809,2019,2020,Urgent Care,SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,241
7810,2015,2018,Gastroenterology,EAST HILLS MEDICAL OFFICES U,KERN COUNTY MED CENTER AREA,2227
7811,2008,2010,Family Practice,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,3473
7811,2009,2009,Urgent Care,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,189
7812,2005,2005,,,,3
7812,2005,2005,Family Practice,MING MEDICAL OFFICES U,KERN COUNTY MED CENTER AREA,12
7812,2005,2011,Urgent Care,STOCKDALE MEDICAL OFFICES U,KERN COUNTY MED CENTER AREA,18858
7812,2006,2006,Occupational Medicine,STOCKDALE MEDICAL OFFICES U,KERN COUNTY MED CENTER AREA,64
7813,2012,2013,"Obstetrics, Gynecology",SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,174
7813,2013,2013,"Obstetrics, Gynecology",OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,70
7813,2013,2013,"Obstetrics, Gynecology",VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,31
7815,2004,2007,Family Practice,PASADENA MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,6869
7815,2005,2005,Pediatrics,PASADENA MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,7
7815,2005,2017,Urgent Care,1526 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,6076
7815,2007,2009,Family Practice,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,5557
7815,2008,2012,Family Practice,PASADENA/LA MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,11121
7815,2009,2012,Urgent Care,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,1045
7815,2016,2018,Urgent Care,PASADENA/LA MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,1923
7815,2017,2017,Urgent Care,4700 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,105
7817,2019,2019,Family Practice,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,60
7819,2008,2020,"Obstetrics, Gynecology",4900 SUNSET MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,14750
7819,2011,2013,"Obstetrics, Gynecology",1526 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,613
7819,2012,2019,Pediatrics,4700 SUNSET MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,232
7819,2020,2020,"Obstetrics, Gynecology",GLENDALE ORANGE STREET U,SUNSET MEDICAL CENTER AREA,187
7820,2005,2020,Nephrology,BALDWIN PARK MEDICAL CENTER L,BALDWIN PARK MED CENTER AREA,1439
7820,2005,2020,Nephrology,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,15201
7821,2010,2014,"Endocrinology, Diabetes/Metabolism",MISSION BAY MEDICAL OFFICES   U,SAN DIEGO MEDICAL CENTER AREA,2121
7821,2010,2016,"Endocrinology, Diabetes/Metabolism",SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,4366
7821,2013,2013,Family Practice,SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,6
7821,2013,2018,"Obstetrics, Gynecology",SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,1536
7821,2014,2016,"Endocrinology, Diabetes/Metabolism",BONITA MEDICAL OFFICES        U,SAN DIEGO MEDICAL CENTER AREA,446
7821,2015,2017,Family Practice,OCEANSIDE RANCH MEDICAL OFFICE/U,SAN DIEGO MEDICAL CENTER AREA,122
7821,2016,2017,Family Practice,LA MESA MEDICAL OFFICES       U,SAN DIEGO MEDICAL CENTER AREA,269
7821,2017,2017,"Obstetrics, Gynecology",OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,89
7821,2018,2020,"Surgery, General",KP ZION MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,404
7821,2018,2020,"Surgery, General",SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,1829
7823,2010,2011,Urgent Care,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,3481
7824,2006,2007,Population Care Management,HARBOR MAC ARTHUR MED OFFICES U,ORANGE COUNTY MED CENTER AREA,80
7824,2007,2008,Population Care Management,ORANGE HEALTH PAVILION U,ORANGE COUNTY MED CENTER AREA,1204
7824,2011,2020,Population Care Management,ANAHEIM KRAEMER MED OFFICE 1,ORANGE COUNTY MED CENTER AREA,12839
7825,2018,2019,Anesthesiology,BALDWIN PARK MEDICAL CENTER L,BALDWIN PARK MED CENTER AREA,7
7827,2004,2012,Family Practice,INGLEWOOD MEDICAL OFFICES U,WEST LA MEDICAL CENTER AREA,449
7827,2004,2020,Internal Medicine,CULVER MARINA MEDICAL OFFICES  U,WEST LA MEDICAL CENTER AREA,37416
7827,2008,2020,Urgent Care,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,2246
7827,2013,2020,Neurology,CULVER MARINA MEDICAL OFFICES  U,WEST LA MEDICAL CENTER AREA,5886
7828,2012,2012,Intermediate Care,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,12
7829,2015,2020,Internal Medicine,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,15186
7829,2017,2020,Family Practice,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,422
7830,2016,2018,Urgent Care,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,1256
7830,2017,2017,Family Practice,LA PALMA MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,18
7830,2017,2020,Family Practice,EUCLID MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,4246
7831,2004,2020,Rheumatology,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,28171
7831,2011,2020,Rheumatology,MEDICAL OFFICES D AT ONTARIO U,SAN BERNARDINO COUNTY AREA,4200
7831,2016,2019,Rheumatology,HIGH DESERT MEDICAL OFFICES   U,SAN BERNARDINO COUNTY AREA,28
7831,2019,2019,Rheumatology,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,40
7832,2016,2018,Internal Medicine,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,13
7832,2017,2019,Internal Medicine,CORONA MEDICAL OFFICES  D15 U,RIVERSIDE MEDICAL CENTER AREA,53
7832,2018,2018,Internal Medicine,IRIS ST MEDICAL OFFICES II,RIVERSIDE MEDICAL CENTER AREA,5
7833,2004,2008,Addiction Medicine,CULVER MARINA MEDICAL OFFICES  U,WEST LA MEDICAL CENTER AREA,405
7833,2004,2009,Gastroenterology,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,411
7833,2004,2019,Internal Medicine,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,20867
7833,2019,2019,Internal Medicine,VENICE MEDICAL OFFICES U,WEST LA MEDICAL CENTER AREA,8
7833,2019,2019,Urgent Care,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,26
7833,2019,2020,Family Practice,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,513
7834,2013,2014,Pain Management,PANORAMA CITY MEDICAL OFFICE 4 U,PANORAMA MEDICAL CENTER AREA,1680
7834,2014,2014,Pain Management,PANORAMA CITY MEDICAL OFFICE 5 U,PANORAMA MEDICAL CENTER AREA,286
7835,2016,2017,Geriatric Medicine,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,103
7835,2016,2017,Internal Medicine,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,251
7836,2012,2016,Family Practice,HIGH DESERT MEDICAL OFFICES   U,SAN BERNARDINO COUNTY AREA,5034
7836,2013,2020,Urgent Care,HIGH DESERT MEDICAL OFFICES   U,SAN BERNARDINO COUNTY AREA,24165
7837,2011,2011,Internal Medicine,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,4
7837,2011,2020,Family Practice,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,1683
7837,2012,2012,Pediatrics,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,36
7837,2012,2014,Urgent Care,FONTANA MEDICAL CENTER U,SAN BERNARDINO COUNTY AREA,1412
7837,2013,2014,Urgent Care,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,769
7837,2014,2018,Urgent Care,SANTA CLARITA MEDICAL OFFICES U,PANORAMA MEDICAL CENTER AREA,8981
7837,2014,2020,Family Practice,SANTA CLARITA MEDICAL OFFICES U,PANORAMA MEDICAL CENTER AREA,13710
7837,2015,2019,Family Practice,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,1798
7837,2016,2019,Pediatrics,SANTA CLARITA MEDICAL OFFICES U,PANORAMA MEDICAL CENTER AREA,479
7837,2017,2019,Pediatrics,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,1178
7837,2018,2019,Family Practice,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,364
7837,2018,2019,Family Practice,KP SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,314
7837,2018,2019,Family Practice,LANCASTER MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,481
7837,2018,2019,Family Practice,MISSION VIEJO MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,228
7837,2018,2019,Family Practice,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,436
7837,2018,2019,Family Practice,SOUTH BAY MEDICAL CENTER U,SOUTH BAY MEDICAL CENTER AREA,215
7837,2018,2019,Family Practice,WEST LA MEDICAL CENTER U,WEST LA MEDICAL CENTER AREA,60
7837,2018,2019,Family Practice,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,11
7837,2018,2020,Family Practice,4950 SUNSET MEDICAL OFFICE  U,SUNSET MEDICAL CENTER AREA,133
7837,2018,2020,Family Practice,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,133
7837,2018,2020,Family Practice,STOCKDALE MEDICAL OFFICES U,KERN COUNTY MED CENTER AREA,130
7837,2018,2020,Urgent Care,SANTA CLARITA MEDICAL OFFICE 2,PANORAMA MEDICAL CENTER AREA,1101
7838,2004,2017,Cardiology,SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,10152
7838,2005,2005,Cardiology,SCRIPPS CARDIOLOGY,SAN DIEGO MEDICAL CENTER AREA,5
7838,2017,2018,Cardiology,KP ZION MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,10
7838,2017,2019,Cardiology,KP SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,28
7838,2017,2020,Cardiology,VIEWRIDGE 1 MEDICAL OFFICES U,SAN DIEGO MEDICAL CENTER AREA,1393
7839,2016,2017,Urgent Care,LA MESA MEDICAL OFFICES       U,SAN DIEGO MEDICAL CENTER AREA,166
7839,2016,2017,Urgent Care,OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,99
7839,2016,2017,Urgent Care,SAN MARCOS OUTPATIENT MED CTR U,SAN DIEGO MEDICAL CENTER AREA,37
7839,2018,2018,Internal Medicine,RANCHO SAN DIEGO MOB          U,SAN DIEGO MEDICAL CENTER AREA,6
7839,2019,2019,Urgent Care,KP SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,94
7841,2004,2006,"Obstetrics, Gynecology",LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,168
7841,2004,2019,"Obstetrics, Gynecology",SAN JUAN CAPISTRANO OFFICES U,ORANGE COUNTY MED CENTER AREA,23664
7841,2005,2006,"Obstetrics, Gynecology",ALTON/SAND CANYON MOB 1 U,ORANGE COUNTY MED CENTER AREA,16
7841,2008,2008,"Obstetrics, Gynecology",HARBOR MAC ARTHUR MED OFFICES U,ORANGE COUNTY MED CENTER AREA,16
7841,2012,2012,"Obstetrics, Gynecology",SANTA ANA MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,1
7841,2015,2019,"Obstetrics, Gynecology",ALTON/SAND CANYON MOB 2 U,ORANGE COUNTY MED CENTER AREA,741
7841,2018,2018,"Obstetrics, Gynecology",GARDEN GROVE MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,6
7841,2019,2019,"Obstetrics, Gynecology",ANAHEIM KRAEMER MED OFFICE 2 U,ORANGE COUNTY MED CENTER AREA,13
7843,2005,2012,Neurosurgery,LAKEVIEW MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,6821
7843,2012,2020,Neurosurgery,ANAHEIM KRAEMER MED OFFICE 1,ORANGE COUNTY MED CENTER AREA,7202
7843,2018,2019,Neurosurgery,ALTON/SAND CANYON MOB 1 U,ORANGE COUNTY MED CENTER AREA,20
7847,2010,2012,Internal Medicine,4950 SUNSET MEDICAL OFFICE  U,SUNSET MEDICAL CENTER AREA,2750
7848,2004,2011,"Obstetrics, Gynecology",4900 SUNSET MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,7392
7850,2005,2017,Urgent Care,WILDOMAR MEDICAL OFFICES U,RIVERSIDE MEDICAL CENTER AREA,7395
7850,2005,2018,Family Practice,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,754
7850,2005,2020,Family Practice,WILDOMAR MEDICAL OFFICES U,RIVERSIDE MEDICAL CENTER AREA,50870
7850,2017,2019,Family Practice,MURRIETA MEDICAL OFFICE 1 U,RIVERSIDE MEDICAL CENTER AREA,3383
7850,2017,2019,Urgent Care,MURRIETA MEDICAL OFFICE 1 U,RIVERSIDE MEDICAL CENTER AREA,76
7851,2010,2011,"Surgery, General",GARFIELD SPEC CARE CNTR U,SAN DIEGO MEDICAL CENTER AREA,89
7851,2010,2011,"Surgery, General",SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,9
7851,2010,2011,"Surgery, General",VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,152
7852,2004,2017,Internal Medicine,LANCASTER MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,31481
7852,2015,2018,Family Practice,LANCASTER MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,424
7853,2004,2007,"Surgery, General",BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,111
7853,2004,2011,"Surgery, Vascular",BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,4951
7853,2010,2010,"Surgery, Vascular",BALDWIN PARK MEDICAL CENTER L,BALDWIN PARK MED CENTER AREA,1
7854,2004,2020,Ophthalmology,SUNSET - VERMONT MED OFFICES  U,SUNSET MEDICAL CENTER AREA,31085
7854,2017,2020,Ophthalmology,CHESTER AVE MEDICAL OFFICES U,KERN COUNTY MED CENTER AREA,1849
7855,2016,2018,Family Practice,NORMANDIE NO. MEDICAL OFFICE U,SOUTH BAY MEDICAL CENTER AREA,6643
7855,2016,2020,Urgent Care,NORMANDIE NO. MEDICAL OFFICE U,SOUTH BAY MEDICAL CENTER AREA,7222
7855,2018,2018,Family Practice,CUDAHY MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,32
7856,2014,2019,Podiatry,RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,102
7856,2014,2020,Podiatry,IRIS ST MEDICAL OFFICES II,RIVERSIDE MEDICAL CENTER AREA,18034
7857,2006,2009,Urgent Care,PANORAMA CITY MEDICAL OFFICE 4 U,PANORAMA MEDICAL CENTER AREA,9646
7857,2006,2014,Internal Medicine,PANORAMA CITY MEDICAL OFFICE 3 U,PANORAMA MEDICAL CENTER AREA,6174
7857,2009,2013,Urgent Care,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,7303
7857,2012,2012,Internal Medicine,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,22
7858,2011,2011,Internal Medicine,BELLFLOWER MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,1
7858,2011,2011,Internal Medicine,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,843
7858,2014,2019,Dermatology,SUNSET - VERMONT MED OFFICES  U,SUNSET MEDICAL CENTER AREA,2827
7858,2015,2020,Dermatology,GLENDALE ORANGE STREET U,SUNSET MEDICAL CENTER AREA,15464
7858,2016,2017,Dermatology,PASADENA/LA MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,915
7858,2019,2019,Dermatology,ORCHARD MEDICAL OFFICES U,DOWNEY MEDICAL CENTER AREA,22
7859,2004,2016,Internal Medicine,ERWIN STREET MEDICAL OFFICE U,WOODLAND HILLS MED CENTER AREA,39619
7859,2005,2011,Internal Medicine,NORTHSIDE MEDICAL OFFICES U,WOODLAND HILLS MED CENTER AREA,148
7859,2005,2015,Urgent Care,WOODLAND HILLS MEDICAL CENTER U,WOODLAND HILLS MED CENTER AREA,3899
7860,2005,2020,"Obstetrics, Gynecology",RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,9550
7860,2011,2020,"Obstetrics, Gynecology",CORONA MEDICAL OFFICES  D15 U,RIVERSIDE MEDICAL CENTER AREA,11676
7861,2004,2006,Family Practice,BONITA MEDICAL OFFICES        U,SAN DIEGO MEDICAL CENTER AREA,6452
7861,2004,2014,Family Practice,VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,2013
7861,2004,2020,Family Practice,OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,36603
7861,2011,2011,Family Practice,LA MESA MEDICAL OFFICES       U,SAN DIEGO MEDICAL CENTER AREA,10
7861,2014,2014,Family Practice,WELLNESS MOBILE UNIT IMP W/SD,SAN DIEGO MEDICAL CENTER AREA,19
7861,2019,2019,Urgent Care,OTAY MESA OUTPATIENT MED CTR  U,SAN DIEGO MEDICAL CENTER AREA,10
7861,2019,2020,Family Practice,KP SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,168
7862,2007,2009,Family Practice,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,13769
7862,2009,2012,Urgent Care,BALDWIN PARK MEDICAL OFFICES U,BALDWIN PARK MED CENTER AREA,5651
7863,2012,2015,Urology,CHESTER AVE MEDICAL OFFICES U,KERN COUNTY MED CENTER AREA,8954
7863,2012,2015,Urology,STOCKDALE MEDICAL OFFICES U,KERN COUNTY MED CENTER AREA,21
7864,2018,2020,Family Practice,PASADENA/LA MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,6095
7864,2019,2019,Pediatrics,PASADENA/LA MEDICAL OFFICES U,SUNSET MEDICAL CENTER AREA,7
7865,2004,2020,"Obstetrics, Gynecology",RIVERSIDE MEDICAL CENTER U,RIVERSIDE MEDICAL CENTER AREA,25111
7865,2012,2020,"Obstetrics, Gynecology",CORONA MEDICAL OFFICES  D15 U,RIVERSIDE MEDICAL CENTER AREA,1405
7867,2004,2005,Anesthesiology,ANAHEIM MEDICAL CENTER H,ORANGE COUNTY MED CENTER AREA,158
7867,2004,2020,Physical Medicine,CHAPMAN MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,12231
7867,2005,2005,Anesthesiology,ALTON/SAND CANYON MOB 1 L,ORANGE COUNTY MED CENTER AREA,6
7867,2005,2020,Pain Management,CHAPMAN MEDICAL OFFICES U,ORANGE COUNTY MED CENTER AREA,6820
7867,2005,2020,Physical Medicine,ALTON/SAND CANYON MOB 1 U,ORANGE COUNTY MED CENTER AREA,134
7867,2007,2008,Pain Management,ALTON/SAND CANYON MOB 1 L,ORANGE COUNTY MED CENTER AREA,350
7867,2007,2012,Pain Management,ANAHEIM MEDICAL CENTER H,ORANGE COUNTY MED CENTER AREA,1105
7867,2012,2015,Pain Management,OC IRVINE MEDICAL CENTER L,ORANGE COUNTY MED CENTER AREA,807
7868,2005,2018,"Surgery, Cardiovascular",1526 EDGEMONT MEDICAL OFFICES  U,SUNSET MEDICAL CENTER AREA,794
7868,2009,2009,"Surgery, Cardiovascular",ST BERNARDINE CARDIAC CARE U,SUNSET MEDICAL CENTER AREA,1
7869,2008,2009,Dermatology,SANTA CLARITA MEDICAL OFFICES U,PANORAMA MEDICAL CENTER AREA,485
7869,2008,2012,Dermatology,LANCASTER MEDICAL OFFICES U,ANTELOPE VALLEY MED CTR AREA,2605
7869,2008,2020,Dermatology,PANORAMA CITY MEDICAL OFFICE 6 U,PANORAMA MEDICAL CENTER AREA,40951
7871,2013,2014,Family Practice,VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,324
7871,2013,2020,Internal Medicine,VANDEVER MEDICAL OFFICES      U,SAN DIEGO MEDICAL CENTER AREA,20928
7871,2015,2017,Family Practice,SAN DIEGO MEDICAL CENTER U,SAN DIEGO MEDICAL CENTER AREA,244
